ticker,expected_days,actual_days,missing_days,missing_pct
OMFL,741,1,740,0.9986504723346828
PPDF,741,1,740,0.9986504723346828
ERYP,741,1,740,0.9986504723346828
OMFS,741,1,740,0.9986504723346828
BAND,741,1,740,0.9986504723346828
JMOM,741,1,740,0.9986504723346828
CCV-CL,741,1,740,0.9986504723346828
FLMX,741,1,740,0.9986504723346828
JHSC,741,1,740,0.9986504723346828
JDIV,741,1,740,0.9986504723346828
PMOM,741,2,739,0.9973009446693657
BEF,741,2,739,0.9973009446693657
FLKR,741,2,739,0.9973009446693657
FLHK,741,2,739,0.9973009446693657
ENTR,741,2,739,0.9973009446693657
APLS,741,2,739,0.9973009446693657
DIVB,741,2,739,0.9973009446693657
VTC,741,2,739,0.9973009446693657
GABR,741,2,739,0.9973009446693657
SOGO,741,2,739,0.9973009446693657
PVAL,741,2,739,0.9973009446693657
FEDU,741,3,738,0.9959514170040485
SPXV,741,3,738,0.9959514170040485
LOVW,741,3,738,0.9959514170040485
IRLR,741,3,738,0.9959514170040485
TRCRW,741,3,738,0.9959514170040485
MMIT,741,3,738,0.9959514170040485
FLGB,741,3,738,0.9959514170040485
MCB,741,3,738,0.9959514170040485
IFRX,741,3,738,0.9959514170040485
FLGR,741,3,738,0.9959514170040485
FLMB,741,3,738,0.9959514170040485
CBTX,741,3,738,0.9959514170040485
RIVRW,741,4,737,0.9946018893387314
MRBK,741,4,737,0.9946018893387314
FLAU,741,4,737,0.9946018893387314
FLBR,741,4,737,0.9946018893387314
FLCH,741,4,737,0.9946018893387314
FLCA,741,4,737,0.9946018893387314
FLJP,741,4,737,0.9946018893387314
FLJH,741,4,737,0.9946018893387314
IGEM,741,4,737,0.9946018893387314
FMHI,741,4,737,0.9946018893387314
CMSS,741,4,737,0.9946018893387314
TCBIW,741,4,737,0.9946018893387314
ETMW,741,4,737,0.9946018893387314
GABRW,741,5,736,0.9932523616734144
INN_B-CL,741,5,736,0.9932523616734144
KIORW,741,5,736,0.9932523616734144
HFRO,741,5,736,0.9932523616734144
IGZ,741,5,736,0.9932523616734144
CMSSR,741,5,736,0.9932523616734144
CMSSW,741,5,736,0.9932523616734144
DLBL,741,5,736,0.9932523616734144
TBB,741,5,736,0.9932523616734144
SDVY,741,5,736,0.9932523616734144
DMRI,741,5,736,0.9932523616734144
ZVV,741,5,736,0.9932523616734144
GGZRW,741,5,736,0.9932523616734144
NAOV,741,6,735,0.9919028340080972
AQ,741,6,735,0.9919028340080972
ACMR,741,6,735,0.9919028340080972
HX,741,6,735,0.9919028340080972
VGFO,741,6,735,0.9919028340080972
FXJP,741,6,735,0.9919028340080972
CNHX,741,6,735,0.9919028340080972
STNLU,741,6,735,0.9919028340080972
DFS_B-CL,741,7,734,0.99055330634278
GPMTW,741,7,734,0.99055330634278
FNKO,741,7,734,0.99055330634278
DTUL,741,7,734,0.99055330634278
SPRO,741,7,734,0.99055330634278
ALNA,741,7,734,0.99055330634278
AQUA,741,7,734,0.99055330634278
SCHW_B-CL,741,8,733,0.9892037786774629
BIBL,741,8,733,0.9892037786774629
FFSG,741,8,733,0.9892037786774629
GUDB,741,8,733,0.9892037786774629
ZJZZT,741,8,733,0.9892037786774629
USHY,741,8,733,0.9892037786774629
FTVA,741,8,733,0.9892037786774629
JPM_D-CL,741,8,733,0.9892037786774629
FFTG,741,8,733,0.9892037786774629
LOMA,741,8,733,0.9892037786774629
TWOW,741,8,733,0.9892037786774629
ALTR,741,8,733,0.9892037786774629
RVRS,741,8,733,0.9892037786774629
GRMY,741,9,732,0.9878542510121457
CISN-WS,741,9,732,0.9878542510121457
OACQU,741,9,732,0.9878542510121457
GMLPP,741,9,732,0.9878542510121457
DOTAW,741,10,731,0.9865047233468286
GNT_A,741,10,731,0.9865047233468286
XGTIW,741,10,731,0.9865047233468286
DBRT,741,10,731,0.9865047233468286
DCF,741,10,731,0.9865047233468286
OSPR,741,10,731,0.9865047233468286
BHACU,741,11,730,0.9851551956815114
BRACR,741,11,730,0.9851551956815114
FSCT,741,11,730,0.9851551956815114
CEY,741,11,730,0.9851551956815114
USTB,741,11,730,0.9851551956815114
HTRB,741,11,730,0.9851551956815114
BRAC,741,11,730,0.9851551956815114
LVNTB,741,11,730,0.9851551956815114
GGZR,741,11,730,0.9851551956815114
ULVM,741,11,730,0.9851551956815114
MBIN,741,11,730,0.9851551956815114
NEXA,741,11,730,0.9851551956815114
MTB_C,741,11,730,0.9851551956815114
DTYL,741,11,730,0.9851551956815114
MLPB,741,11,730,0.9851551956815114
RPAI_A-CL,741,11,730,0.9851551956815114
PLYM_A,741,11,730,0.9851551956815114
MXDU,741,11,730,0.9851551956815114
UEVM,741,11,730,0.9851551956815114
UITB,741,11,730,0.9851551956815114
DOTAR,741,11,730,0.9851551956815114
SRC_A,741,11,730,0.9851551956815114
USVM,741,11,730,0.9851551956815114
UIVM,741,11,730,0.9851551956815114
RMPL_,741,12,729,0.9838056680161943
EYE,741,12,729,0.9838056680161943
BPMP,741,12,729,0.9838056680161943
HYACU,741,12,729,0.9838056680161943
CMSSU,741,12,729,0.9838056680161943
WEXP,741,12,729,0.9838056680161943
ABLX,741,13,728,0.9824561403508771
TAP-A,741,13,728,0.9824561403508771
GAZB,741,13,728,0.9824561403508771
FOANC,741,13,728,0.9824561403508771
BRACW,741,13,728,0.9824561403508771
IIPR_A,741,13,728,0.9824561403508771
CATC,741,13,728,0.9824561403508771
LEXEB,741,13,728,0.9824561403508771
TGP_B,741,13,728,0.9824561403508771
IAMXR,741,14,727,0.9811066126855601
KIOR,741,14,727,0.9811066126855601
BTU_,741,14,727,0.9811066126855601
LOGO,741,14,727,0.9811066126855601
SSWA,741,14,727,0.9811066126855601
TPGH-WS,741,14,727,0.9811066126855601
DD,741,14,727,0.9811066126855601
NSPR-WS-B,741,15,726,0.979757085020243
MOSC-U,741,15,726,0.979757085020243
FAT,741,15,726,0.979757085020243
OSPRW,741,15,726,0.979757085020243
BRGL,741,16,725,0.9784075573549258
HJPX,741,16,725,0.9784075573549258
IAMXW,741,16,725,0.9784075573549258
BDCZ,741,16,725,0.9784075573549258
LYL,741,16,725,0.9784075573549258
TPGH,741,16,725,0.9784075573549258
SE,741,16,725,0.9784075573549258
MTB_,741,16,725,0.9784075573549258
TRCR,741,16,725,0.9784075573549258
REDU,741,16,725,0.9784075573549258
AYTU,741,16,725,0.9784075573549258
FDBC,741,17,724,0.9770580296896086
RIVR,741,17,724,0.9770580296896086
HTF-CL,741,17,724,0.9770580296896086
MDB,741,17,724,0.9770580296896086
GS_I-CL,741,17,724,0.9770580296896086
USMC,741,17,724,0.9770580296896086
UBRT,741,17,724,0.9770580296896086
AIEQ,741,17,724,0.9770580296896086
DOTA,741,17,724,0.9770580296896086
CLTL,741,17,724,0.9770580296896086
SBNYW,741,17,724,0.9770580296896086
DEMS,741,18,723,0.9757085020242915
QD,741,18,723,0.9757085020242915
TAXR,741,18,723,0.9757085020242915
COR_A-CL,741,18,723,0.9757085020242915
CIC,741,18,723,0.9757085020242915
BERN,741,18,723,0.9757085020242915
GOP,741,18,723,0.9757085020242915
HAHA,741,18,723,0.9757085020242915
MOGLC,741,18,723,0.9757085020242915
LNC-WS,741,18,723,0.9757085020242915
NEE_H-CL,741,19,722,0.9743589743589743
SFB,741,19,722,0.9743589743589743
NEE_G-CL,741,19,722,0.9743589743589743
NUBD,741,19,722,0.9743589743589743
IAM,741,19,722,0.9743589743589743
DFVL,741,19,722,0.9743589743589743
IRET_B-CL,741,19,722,0.9743589743589743
SOHOO,741,20,721,0.9730094466936572
KEMQ,741,20,721,0.9730094466936572
WUSA,741,20,721,0.9730094466936572
KGRN,741,20,721,0.9730094466936572
LRGE,741,20,721,0.9730094466936572
DIAL,741,20,721,0.9730094466936572
CLNS_C-CL,741,20,721,0.9730094466936572
SPLP_T,741,20,721,0.9730094466936572
TCF_B-CL,741,20,721,0.9730094466936572
IBO,741,21,720,0.97165991902834
NEE_C-CL,741,21,720,0.97165991902834
NSA_A,741,21,720,0.97165991902834
WYIG,741,21,720,0.97165991902834
GPACU,741,21,720,0.97165991902834
CIC-WS,741,21,720,0.97165991902834
CHGX,741,21,720,0.97165991902834
CBX,741,21,720,0.97165991902834
NYMTN,741,21,720,0.97165991902834
EACQU,741,21,720,0.97165991902834
OPTN,741,21,720,0.97165991902834
QVM,741,22,719,0.970310391363023
ALP_O-CL,741,22,719,0.970310391363023
DLBR,741,22,719,0.970310391363023
NES,741,22,719,0.970310391363023
SCHK,741,22,719,0.970310391363023
HAIR,741,22,719,0.970310391363023
KIDS,741,22,719,0.970310391363023
LFEQ,741,22,719,0.970310391363023
ISP-CL,741,22,719,0.970310391363023
CARG,741,22,719,0.970310391363023
GPE_A-CL,741,22,719,0.970310391363023
FFBW,741,23,718,0.9689608636977058
YLDE,741,23,718,0.9689608636977058
WSO-B,741,24,717,0.9676113360323887
DMRL,741,24,717,0.9676113360323887
UBP_F-CL,741,24,717,0.9676113360323887
KWN-CL,741,25,716,0.9662618083670715
BSCR,741,25,716,0.9662618083670715
LGLR,741,25,716,0.9662618083670715
HMLP_A,741,25,716,0.9662618083670715
CNAC,741,26,715,0.9649122807017544
EMBU,741,26,715,0.9649122807017544
LLQD,741,26,715,0.9649122807017544
BCACW,741,26,715,0.9649122807017544
SWCH,741,26,715,0.9649122807017544
PBEE,741,26,715,0.9649122807017544
IMTE,741,26,715,0.9649122807017544
FSACW,741,26,715,0.9649122807017544
RDIB,741,27,714,0.9635627530364372
BRACU,741,27,714,0.9635627530364372
TDW-WS-B,741,27,714,0.9635627530364372
RYTM,741,27,714,0.9635627530364372
HTFA,741,27,714,0.9635627530364372
TDW-WS-A,741,27,714,0.9635627530364372
BSJP,741,28,713,0.9622132253711201
ISZE,741,28,713,0.9622132253711201
IRET_C,741,28,713,0.9622132253711201
FRT_C,741,28,713,0.9622132253711201
GGO_A,741,28,713,0.9622132253711201
PBDM,741,29,712,0.9608636977058029
STL_A,741,29,712,0.9608636977058029
NDRAW,741,29,712,0.9608636977058029
RBIN,741,29,712,0.9608636977058029
IPOA-WS,741,29,712,0.9608636977058029
CATYW,741,29,712,0.9608636977058029
VESH,741,30,711,0.9595141700404858
YECO,741,30,711,0.9595141700404858
DALT,741,30,711,0.9595141700404858
HBB,741,30,711,0.9595141700404858
FSAC,741,30,711,0.9595141700404858
IPOA,741,30,711,0.9595141700404858
RHE,741,30,711,0.9595141700404858
AIB-CL,741,30,711,0.9595141700404858
PDLB,741,30,711,0.9595141700404858
RHE_A,741,30,711,0.9595141700404858
GGT_E,741,31,710,0.9581646423751687
PQG,741,31,710,0.9581646423751687
PBND,741,31,710,0.9581646423751687
GECCL,741,32,709,0.9568151147098516
JEMD,741,32,709,0.9568151147098516
ANDAU,741,32,709,0.9568151147098516
ROKU,741,32,709,0.9568151147098516
NCNA,741,32,709,0.9568151147098516
NITE,741,32,709,0.9568151147098516
GLADN,741,32,709,0.9568151147098516
CBO,741,32,709,0.9568151147098516
TPGE-WS,741,32,709,0.9568151147098516
DOTAU,741,32,709,0.9568151147098516
DCPH,741,32,709,0.9568151147098516
XFLT,741,32,709,0.9568151147098516
RYB,741,33,708,0.9554655870445344
NSPR-WS,741,33,708,0.9554655870445344
XINA,741,33,708,0.9554655870445344
CNACW,741,33,708,0.9554655870445344
BCAC,741,33,708,0.9554655870445344
CLNS_J,741,33,708,0.9554655870445344
RBUS,741,34,707,0.9541160593792173
FFIU,741,34,707,0.9541160593792173
FXEP,741,34,707,0.9541160593792173
GPJA,741,34,707,0.9541160593792173
UBP_H,741,35,706,0.9527665317139001
MLQD,741,35,706,0.9527665317139001
PBUS,741,35,706,0.9527665317139001
PBSM,741,35,706,0.9527665317139001
AMCA,741,35,706,0.9527665317139001
FUV,741,36,705,0.951417004048583
SECO,741,36,705,0.951417004048583
PSB_X,741,36,705,0.951417004048583
OMP,741,37,704,0.9500674763832658
PETZ,741,37,704,0.9500674763832658
GMRE_A,741,37,704,0.9500674763832658
COMG,741,38,703,0.9487179487179487
CELC,741,38,703,0.9487179487179487
BSTI,741,38,703,0.9487179487179487
KRYS,741,38,703,0.9487179487179487
IBDS,741,38,703,0.9487179487179487
NW_C-CL,741,38,703,0.9487179487179487
ECF_A,741,38,703,0.9487179487179487
ATAC,741,38,703,0.9487179487179487
SPXN,741,38,703,0.9487179487179487
DESP,741,38,703,0.9487179487179487
ZLAB,741,38,703,0.9487179487179487
KELYB,741,39,702,0.9473684210526315
IPOS,741,39,702,0.9473684210526315
ATACR,741,39,702,0.9473684210526315
GHYB,741,39,702,0.9473684210526315
TCF_D,741,40,701,0.9460188933873145
OILX,741,40,701,0.9460188933873145
DLR_C,741,41,700,0.9446693657219973
GSEW,741,41,700,0.9446693657219973
KBLM,741,41,700,0.9446693657219973
CNACR,741,41,700,0.9446693657219973
PSET,741,41,700,0.9446693657219973
TCGP,741,41,700,0.9446693657219973
TRMT,741,42,699,0.9433198380566802
MFUS,741,42,699,0.9433198380566802
KBLMW,741,42,699,0.9433198380566802
IPOA-U,741,42,699,0.9433198380566802
PFFD,741,43,698,0.941970310391363
FENC,741,43,698,0.941970310391363
PEI_D,741,43,698,0.941970310391363
WRLSW,741,43,698,0.941970310391363
GNL_A,741,43,698,0.941970310391363
ATACU,741,44,697,0.9406207827260459
ALP_Q,741,44,697,0.9406207827260459
MFEM,741,44,697,0.9406207827260459
LTRPB,741,44,697,0.9406207827260459
TPGE,741,44,697,0.9406207827260459
SUSC,741,45,696,0.9392712550607287
OBOR,741,45,696,0.9392712550607287
BIO-B,741,45,696,0.9392712550607287
SUSB,741,46,695,0.9379217273954116
WRLSR,741,46,695,0.9379217273954116
BAR,741,46,695,0.9379217273954116
FMDG,741,47,694,0.9365721997300944
MFDX,741,47,694,0.9365721997300944
EMXC,741,47,694,0.9365721997300944
MAGA,741,47,694,0.9365721997300944
CIC-U,741,47,694,0.9365721997300944
SECT,741,48,693,0.9352226720647774
RY_S-CL,741,48,693,0.9352226720647774
VSMV,741,48,693,0.9352226720647774
ESDIW,741,48,693,0.9352226720647774
MFGP,741,49,692,0.9338731443994602
RLJ_A,741,49,692,0.9338731443994602
